Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
6451,O194732,11201,BROOKLYN HEIGHTS,199,90 FURMAN STREET,13  CONDOS - ELEVATOR APARTMENTS,,,0,NA
6452,O232241,11206,WILLIAMSBURG-CENTRAL,2237,155 MIDDLETON STREET,15  CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,2008,NA
6453,O95114,11222,GREENPOINT,2511,61 GREEN STREET,46  CONDO STORE BUILDINGS,4,RK,2005,NA
6454,O206282,11236,CANARSIE,8007,8616 GLENWOOD ROAD,05  TAX CLASS 1 VACANT LAND,,,0,NA
6455,O281176,11209,BAY RIDGE,5940,370 BAY RIDGE PARKWAY,21  OFFICE BUILDINGS,4,O7,1971,5
6456,O305389,11230,BOROUGH PARK,5457,1070 MC DONALD AVENUE,22  STORE BUILDINGS,4,K4,1931,5
6457,O33008,11209,BAY RIDGE,6111,"9411 SHORE ROAD, L-F                     ",10  COOPS - ELEVATOR APARTMENTS,2,D4,1960,3
6458,O106760,11220,SUNSET PARK,849,5721 6 AVENUE,37  RELIGIOUS FACILITIES,4,W9,1924,8
6459,O57590,11211,WILLIAMSBURG-SOUTH,2405,116 SOUTH 1ST   STREET,07  RENTALS - WALKUP APARTMENTS,2,C1,1910,2
6460,O394100,11201,BROOKLYN HEIGHTS,220,47 WILLOW STREET,01 ONE FAMILY HOMES,1,A4,1899,1
6461,O144464,11231,COBBLE HILL,323,6 STRONG PLACE,07  RENTALS - WALKUP APARTMENTS,2A,C3,1900,1
6462,O280685,11223,OCEAN PARKWAY-SOUTH,7136,2424 CONEY ISLAND AVENUE,22  STORE BUILDINGS,4,K5,1972,5
6463,O32537,11205,BEDFORD STUYVESANT,1914,684B MYRTLE AVENUE,14  RENTALS - 4-10 UNIT,2B,S5,1958,4
6464,O57120,11219,BOROUGH PARK,5696,1122 57TH   STREET,05  TAX CLASS 1 VACANT LAND,1B,V0,0,11
6465,O218818,11231,COBBLE HILL,325,214 KANE STREET,02 TWO FAMILY HOMES,1,B9,1901,1
6466,O243667,11207,CYPRESS HILLS,3918,17 VAN SICLEN AVENUE,07  RENTALS - WALKUP APARTMENTS,2,C1,1930,2
6467,O106749,11238,FORT GREENE,2121,341 ADELPHI STREET,02 TWO FAMILY HOMES,1,B9,1910,1
6468,O255887,11223,GRAVESEND,6622,1671 WEST 10TH   STREET,28  COMMERCIAL CONDOS,4,R5,0,NA
6469,O181723,11215,PARK SLOPE,1074,250 GARFIELD PLACE,02 TWO FAMILY HOMES,1,B3,1899,1
6470,O281184,11215,PARK SLOPE,1083,587 5TH STREET,02 TWO FAMILY HOMES,1,B1,1899,1
6471,O45226,11217,PARK SLOPE,1058,221 ST. JOHNS PLACE,03 THREE FAMILY HOMES,1,C0,1899,2
6472,O19952,11209,BAY RIDGE,6051,514 86TH   STREET,22  STORE BUILDINGS,4,K4,1926,4
6473,O231773,11205,BEDFORD STUYVESANT,1914,684B MYRTLE AVENUE,14  RENTALS - 4-10 UNIT,2B,S5,1958,4
6474,O156677,11214,BENSONHURST,6319,2227 83RD STREET,07  RENTALS - WALKUP APARTMENTS,2,C1,1931,2
6475,O255859,11217,BOERUM HILL,386,140 BERGEN STREET,07  RENTALS - WALKUP APARTMENTS,2A,C2,1900,2
6476,O33012,11201,BROOKLYN HEIGHTS,270,161 STATE STREET,02 TWO FAMILY HOMES,1,B3,1901,1
6477,O169185,11238,CLINTON HILL,2012,556 WASHINGTON AVENUE,02 TWO FAMILY HOMES,1,B9,1899,1
6478,O343508,11238,CLINTON HILL,1960,409 VANDERBILT AVENUE,32  HOSPITAL AND HEALTH FACILITIES,4,I9,1930,1
6479,O218806,11231,COBBLE HILL,324,59 STRONG PLACE,02 TWO FAMILY HOMES,1,B9,1901,1
6480,O57604,11238,CROWN HEIGHTS,1134,1104 PACIFIC STREET,29  COMMERCIAL GARAGES,4,G1,1930,10
6481,O380913,11238,CROWN HEIGHTS,1163,PROSPECT PLACE,29  COMMERCIAL GARAGES,4,G6,0,10
6482,O156668,11217,DOWNTOWN-FULTON MALL,172,411 STATE STREET,07  RENTALS - WALKUP APARTMENTS,2B,C1,1905,2
6483,O57077,11231,GOWANUS,423,455 SACKETT STREET,02 TWO FAMILY HOMES,1,B9,1901,1
6484,O219339,11222,GREENPOINT,2719,137 BAYARD STREET,27  FACTORIES,4,F4,1940,3
6485,O268186,11230,OCEAN PARKWAY-NORTH,6529,1035 EAST 8TH STREET,01 ONE FAMILY HOMES,1,A1,1925,1
6486,O82041,11215,PARK SLOPE,983,441 4TH STREET,02 TWO FAMILY HOMES,1,B3,1899,1
6487,O280653,11215,PARK SLOPE,964,263-265 FIRST ST,05  TAX CLASS 1 VACANT LAND,1B,V0,0,NA
